<Sentence id='1'>
1	are	INJC	<fs af='are,avy,,,,,,' drel='mod:re' name='are' chunkType='child:BLK' posn='10'>
2	bApa	INJC	<fs af='bApa,avy,,,,,,' drel='mod:re' name='bApa' chunkType='child:BLK' posn='20'>
3	re	INJ	<fs af='re,avy,,,,,,' drel='vmod:ho' name='re' chunkId='BLK' chunkType='head:BLK' posn='30'>
4	AxamI	NN	<fs af='AxamI,n,m,sg,3,d,0,0' drel='k1:ho' name='AxamI' chunkId='NP' chunkType='head:NP' posn='40'>
5	mOwa	NN	<fs af='mOwa,n,f,sg,3,o,0_kA,0' drel='r6-k2:sOxAgara' vpos='vib_2' name='mOwa' chunkId='NP2' chunkType='head:NP2' posn='50'>
6	kA	PSP	<fs af='kA,psp,m,sg,,d,,' drel='lwg__psp:mOwa' name='kA' chunkType='child:NP2' posn='60'>
7	sOxAgara	NN	<fs af='sOxAgara,n,m,sg,3,d,0,0' drel='pof:ho' name='sOxAgara' chunkId='NP3' chunkType='head:NP3' posn='70'>
8	ho	VM	<fs af='ho,v,m,sg,3,,0_jA+yA1_hE,0' vpos='tam_2_3' name='ho' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='80'>
9	gayA	VAUX	<fs af='jA,v,m,sg,any,,yA1,yA1' drel='lwg__vaux:ho' name='gayA' chunkType='child:VGF' posn='90'>
10	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux_cont:gayA' name='hE' chunkType='child:VGF' posn='100'>
11	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:ho' name='.' chunkId='BLK2' chunkType='head:BLK2' posn='110'>
</Sentence>

<Sentence id='2'>
1	kiwanI	QF	<fs af='kiwanA,adj,f,sg,,d,,' drel='nmod__adj:Kabara' name='kiwanI' chunkType='child:NP' posn='10'>
2	BayAvaha	JJ	<fs af='BayAvaha,adj,any,any,,d,,' drel='nmod__adj:Kabara' name='BayAvaha' chunkType='child:NP' posn='20'>
3	Kabara	NN	<fs af='Kabara,n,f,sg,3,d,0,0' drel='k1:CapI' name='Kabara' chunkId='NP' chunkType='head:NP' posn='30'>
4	CapI	VM	<fs af='Capa,v,f,sg,3,,yA_hE,yA' vpos='tam_2' name='CapI' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='40'>
5	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux:CapI' name='hE' chunkType='child:VGF' posn='50'>
6	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:CapI' name='.' chunkId='BLK' chunkType='head:BLK' posn='60'>
</Sentence>

<Sentence id='4'>
1	kyoM	WQ	<fs af='kyoM,pn,,,,,,' drel='adv:kara' name='kyoM' chunkId='RBP' chunkType='head:RBP' posn='10'>
2	cIKa	NNC	<fs af='cIKa,n,f,sg,3,d,0,0' drel='pof__cn:pukAra' name='cIKa' chunkType='child:NP' posn='20'>
3	pukAra	NN	<fs af='pukAra,n,f,sg,3,d,0,0' drel='pof:kara' name='pukAra' chunkId='NP' chunkType='head:NP' posn='30'>
4	kara	VM	<fs af='kara,v,m,sg,2,,0_raha+yA_hE+o,0' drel='k2:kahawe' vpos='tam_2_3' name='kara' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='40'>
5	rahe	VAUX	<fs af='raha,v,m,sg,any,,yA,yA' drel='lwg__vaux:kara' name='rahe' chunkType='child:VGF' posn='50'>
6	ho	VAUX	<fs af='hE,v,any,sg,2,,o,aO' drel='lwg__vaux_cont:rahe' name='ho' chunkType='child:VGF' posn='60'>
7	kahawe	VM	<fs af='kaha,v,m,sg,any,,wA_ho+yA,wA' drel='vmod:ho2' vpos='tam_2' name='kahawe' chunkId='VGNF' chunkType='head:VGNF' posn='70'>
8	hue	VAUX	<fs af='ho,v,m,sg,any,,yA,yA' drel='lwg__vaux:kahawe' name='hue' chunkType='child:VGNF' posn='80'>
9	nanxinI	NNP	<fs af='naMxinI,n,f,sg,3,d,0,0' drel='k1:ho2' name='nanxinI' chunkId='NP2' chunkType='head:NP2' posn='90'>
10	sAmane	NST	<fs af='sAmane,nst,m,sg,3,d,,' drel='k7:ho2' name='sAmane' chunkId='NP3' chunkType='head:NP3' posn='100'>
11	KadZI	JJ	<fs af='KadZA,adj,f,sg,,,,' drel='pof:ho2' name='KadZI' chunkId='JJP' chunkType='head:JJP' posn='110'>
12	ho	VM	<fs af='ho,v,any,sg,any,,0_jA+yA1,0' vpos='tam_2' name='ho2' chunkId='VGF2' chunkType='head:VGF2' stype='declarative' voicetype='active' posn='120'>
13	gayI	VAUX	<fs af='jA,v,f,sg,any,,yA1,yA1' drel='lwg__vaux:ho2' name='gayI' chunkType='child:VGF2' posn='130'>
14	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:ho2' name='.' chunkId='BLK' chunkType='head:BLK' posn='140'>
</Sentence>

<Sentence id='5'>
1	sanwoRa	NNP	<fs af='saMwoRa,n,any,sg,3,d,0,0' drel='spr:-' name='sanwoRa' chunkId='NP' chunkType='head:NP' posn='10'>
2	-	SYM	<fs af='-,punc,,,,,,' name='-' chunkId='BLK' chunkType='head:BLK' posn='20'>
3	lo	VM	<fs af='le,v,any,sg,2,,o,ao' drel='vmod:xeKa' name='lo' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='30'>
4	Kuxa	PRP	<fs af='Kuxa,pn,any,any,any,o,0_kA,0' drel='r6:AMKa' vpos='vib_2' name='Kuxa' chunkId='NP2' chunkType='head:NP2' posn='70'>
5	kI	PSP	<fs af='kA,psp,f,sg,,o,,' drel='lwg__psp:Kuxa' name='kI' chunkType='child:NP2' posn='50'>
6	AMKa	NN	<fs af='AMKa,n,f,sg,3,o,0_se,0' drel='k3:xeKa' vpos='vib_2' name='AMKa' chunkId='NP3' chunkType='head:NP3' posn='60'>
7	se	PSP	<fs af='se,psp,,,,,,' drel='lwg__psp:AMKa' name='se' chunkType='child:NP3' posn='70'>
8	xeKa	VM	<fs af='xeKa,v,any,sg,2,,0_le+o,0' drel='spn:-' vpos='tam_2' name='xeKa' chunkId='VGF2' chunkType='head:VGF2' stype='declarative' voicetype='active' posn='80'>
9	lo	VAUX	<fs af='le,v,any,sg,2,,o,ao' drel='lwg__vaux:xeKa' name='lo2' chunkType='child:VGF2' posn='90'>
10	aKabAra	NN	<fs af='aKabAra,n,m,sg,3,o,0_meM,0' drel='k7:CapI' vpos='vib_2' name='aKabAra' chunkId='NP4' chunkType='head:NP4' posn='100'>
11	meM	PSP	<fs af='meM,psp,,,,,,' drel='lwg__psp:aKabAra' name='meM' chunkType='child:NP4' posn='110'>
12	CapI	VM	<fs af='Capa,v,f,sg,any,,yA,yA' drel='nmod__k2inv:Kabara' name='CapI' chunkId='VGNF' chunkType='head:VGNF' posn='120'>
13	xila	NN	<fs af='xila,n,m,sg,3,d,0,0' drel='k2:xahalA' name='xila' chunkId='NP5' chunkType='head:NP5' posn='130'>
14	xahalA	VM	<fs af='xahalA,v,any,sg,any,,0_xe+nA_vAlA,0' drel='nmod:Kabara' vpos='tam_2_3' name='xahalA' chunkId='VGNN' chunkType='head:VGNN' posn='140'>
15	xene	VAUX	<fs af='xe,v,any,any,any,o,nA,nA' drel='lwg__vaux:xahalA' name='xene' chunkType='child:VGNN' posn='150'>
16	vAlI	PSP	<fs af='vAlA,psp,f,sg,,d,,' drel='lwg__psp:xahalA' name='vAlI' chunkType='child:VGNN' posn='160'>
17	Kabara	NN	<fs af='Kabara,n,f,sg,3,d,0,0' drel='k2:xeKa' name='Kabara' chunkId='NP6' chunkType='head:NP6' posn='170'>
18	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:-' name='.' chunkId='BLK2' chunkType='head:BLK2' posn='180'>
</Sentence>

<Sentence id='6'>
1	Aja	NN	<fs af='Aja,n,m,sg,3,d,0,0' drel='k7t:ho' name='Aja' chunkId='NP' chunkType='head:NP' posn='10'>
2	AxamI	NN	<fs af='AxamI,n,m,sg,3,d,0,0' drel='k1:ho' name='AxamI' chunkId='NP2' chunkType='head:NP2' posn='20'>
3	mOwa	NN	<fs af='mOwa,n,f,sg,3,o,0_kA,0' drel='r6:sOxAgara' vpos='vib_2' name='mOwa' chunkId='NP3' chunkType='head:NP3' posn='30'>
4	kA	PSP	<fs af='kA,psp,m,sg,,d,,' drel='lwg__psp:mOwa' name='kA' chunkType='child:NP3' posn='40'>
5	sOxAgara	NN	<fs af='sOxAgara,n,m,sg,3,d,0,0' drel='k1s:ho' name='sOxAgara' chunkId='NP4' chunkType='head:NP4' posn='50'>
6	ho	VM	<fs af='ho,v,m,sg,3,,0_jA+yA1_hE,0' vpos='tam_2_3' name='ho' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='60'>
7	gayA	VAUX	<fs af='jA,v,m,sg,any,,yA1,yA1' drel='lwg__vaux:ho' name='gayA' chunkType='child:VGF' posn='70'>
8	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux_cont:gayA' name='hE' chunkType='child:VGF' posn='80'>
9	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:ho' name='.' chunkId='BLK' chunkType='head:BLK' posn='90'>
</Sentence>

<Sentence id='8'>
1	sanwoRa	NNP	<fs af='saMwoRa,n,any,sg,3,d,0,0' drel='spr:-' name='sanwoRa' chunkId='NP' chunkType='head:NP' posn='10'>
2	-	SYM	<fs af='-,punc,,,,,,' name='-' chunkId='BLK' chunkType='head:BLK' posn='20'>
3	AxamI	NN	<fs af='AxamI,n,m,pl,3,d,0,0' drel='k1:karane' name='AxamI' chunkId='NP2' chunkType='head:NP2' posn='30'>
4	AxamI	NN	<fs af='AxamI,n,m,sg,3,o,0_kA,0' drel='r6:hawyA' vpos='vib_2' name='AxamI2' chunkId='NP3' chunkType='head:NP3' posn='40'>
5	kI	PSP	<fs af='kA,psp,f,sg,,d,,' drel='lwg__psp:AxamI2' name='kI' chunkType='child:NP3' posn='50'>
6	hawyA	NN	<fs af='hawyA,n,f,sg,3,d,0_bAxa,0' drel='k7t:karane' vpos='vib_2' name='hawyA' chunkId='NP4' chunkType='head:NP4' posn='60'>
7	bAxa	NST	<fs af='bAxa,nst,m,sg,3,d,,' drel='lwg__psp:hawyA' name='bAxa' chunkType='child:NP4' posn='70'>
8	SinAKwa	NN	<fs af='SinAKwa,n,f,sg,3,d,0,0' drel='k2:mitAkara' name='SinAKwa' chunkId='NP5' chunkType='head:NP5' posn='80'>
9	mitAkara	VM	<fs af='mitA,v,any,any,any,,kara,kara' drel='vmod:karane' name='mitAkara' chunkId='VGNF' chunkType='head:VGNF' posn='90'>
10	kamAI	NN	<fs af='kamAI,n,f,sg,3,d,0,0' drel='pof:karane' name='kamAI' chunkId='NP6' chunkType='head:NP6' posn='100'>
11	karane	VM	<fs af='kara,v,m,pl,3,,nA_laga+yA_hE,nA' drel='spn:-' vpos='tam_2_3' name='karane' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='110'>
12	lage	VAUX	<fs af='laga,v,m,pl,any,,yA,yA' drel='lwg__vaux:karane' name='lage' chunkType='child:VGF' posn='120'>
13	hEM	VAUX	<fs af='hE,v,any,pl,3,,hE,hE' drel='lwg__vaux_cont:lage' name='hEM' chunkType='child:VGF' posn='130'>
14	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:-' name='.' chunkId='BLK2' chunkType='head:BLK2' posn='140'>
</Sentence>

<Sentence id='9'>
1	becAre	JJ	<fs af='becArA,adj,m,pl,,o,,' drel='nmod__adj:mqwakoM' name='becAre' chunkType='child:NP' posn='10'>
2	mqwakoM	NN	<fs af='mqwaka,n,m,pl,3,o,0_kA,0' drel='r6:parivAra' vpos='vib_3' name='mqwakoM' chunkId='NP' chunkType='head:NP' posn='20'>
3	ke	PSP	<fs af='kA,psp,m,sg,,o,,' drel='lwg__psp:mqwakoM' name='ke' chunkType='child:NP' posn='30'>
4	Gara	NNC	<fs af='Gara,n,m,sg,3,d,0,0' drel='pof__cn:parivAra' name='Gara' chunkType='child:NP2' posn='40'>
5	parivAra	NN	<fs af='parivAra,n,m,sg,3,o,0_kA,0' drel='r6:sapanoM' vpos='vib_3' name='parivAra' chunkId='NP2' chunkType='head:NP2' posn='50'>
6	ke	PSP	<fs af='kA,psp,m,pl,,o,,' drel='lwg__psp:parivAra' name='ke2' chunkType='child:NP2' posn='60'>
7	sapanoM	NN	<fs af='sapanA,n,m,pl,3,o,0_kA,0' drel='r6:bArAwa' vpos='vib_2' name='sapanoM' chunkId='NP3' chunkType='head:NP3' posn='70'>
8	kI	PSP	<fs af='kA,psp,f,sg,,o,,' drel='lwg__psp:sapanoM' name='kI' chunkType='child:NP3' posn='80'>
9	bArAwa	NN	<fs af='bArAwa,n,f,sg,3,o,0_meM,0' drel='k7:lagA' vpos='vib_2' name='bArAwa' chunkId='NP4' chunkType='head:NP4' posn='90'>
10	meM	PSP	<fs af='meM,psp,,,,,,' drel='lwg__psp:bArAwa' name='meM' chunkType='child:NP4' posn='100'>
11	hEvAna	JJ	<fs af='hEvAna,adj,any,any,,o,,' drel='nmod__adj:kisma' name='hEvAna' chunkType='child:NP5' posn='110'>
12	kisma	NN	<fs af='kisma,n,f,sg,3,o,0_kA,0' drel='r6:loga' vpos='vib_3' name='kisma' chunkId='NP5' chunkType='head:NP5' posn='120'>
13	ke	PSP	<fs af='kA,psp,m,pl,,d,,' drel='lwg__psp:kisma' name='ke3' chunkType='child:NP5' posn='130'>
14	loga	NN	<fs af='loga,n,m,pl,3,d,0,0' drel='k1:lagA' name='loga' chunkId='NP6' chunkType='head:NP6' posn='140'>
15	Aga	NN	<fs af='Aga,n,f,sg,3,d,0,0' drel='pof:lagA' name='Aga' chunkId='NP7' chunkType='head:NP7' posn='150'>
16	lagA	VM	<fs af='lagA,v,any,pl,3,,0_xe_raha+yA_hE,0' vpos='tam_2_3_4' name='lagA' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='160'>
17	xe	VAUX	<fs af='xe,v,any,any,any,,0,0' drel='lwg__vaux:lagA' name='xe' chunkType='child:VGF' posn='170'>
18	raheM	VAUX	<fs af='raha,v,any,pl,any,,yA,yA' drel='lwg__vaux_cont:xe' name='raheM' chunkType='child:VGF' posn='180'>
19	hEM	VAUX	<fs af='hE,v,any,pl,3,,hE,hE' drel='lwg__vaux_cont:raheM' name='hEM' chunkType='child:VGF' posn='190'>
20	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:lagA' name='.' chunkId='BLK' chunkType='head:BLK' posn='200'>
</Sentence>

<Sentence id='10'>
1	AxamI	NN	<fs af='AxamI,n,m,sg,3,d,0,0' drel='k1:ho' name='AxamI' chunkId='NP' chunkType='head:NP' posn='10'>
2	kiwanA	QF	<fs af='kiwanA,adj,m,sg,,,,' drel='nmod__adj:xarinxA' name='kiwanA' chunkType='child:JJP' posn='20'>
3	xarinxA	JJ	<fs af='xariMxA,adj,any,any,,,,' drel='k1s:ho' name='xarinxA' chunkId='JJP' chunkType='head:JJP' posn='30'>
4	ho	VM	<fs af='ho,v,m,sg,3,,0_jA+yA1_hE,0' vpos='tam_2_3' name='ho' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='40'>
5	gayA	VAUX	<fs af='jA,v,m,sg,any,,yA1,yA1' drel='lwg__vaux:ho' name='gayA' chunkType='child:VGF' posn='50'>
6	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux_cont:gayA' name='hE' chunkType='child:VGF' posn='60'>
7	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:ho' name='.' chunkId='BLK' chunkType='head:BLK' posn='70'>
</Sentence>

<Sentence id='11'>
1	mOwa	NN	<fs af='mOwa,n,f,sg,3,o,0_kA,0' drel='r6:sOxAgara' vpos='vib_2' name='mOwa' chunkId='NP' chunkType='head:NP' posn='10'>
2	kA	PSP	<fs af='kA,psp,m,sg,,d,,' drel='lwg__psp:mOwa' name='kA' chunkType='child:NP' posn='20'>
3	sOxAgara	NN	<fs af='sOxAgara,n,m,sg,3,d,0,0' drel='k1:bana' name='sOxAgara' chunkId='NP2' chunkType='head:NP2' posn='30'>
4	bana	VM	<fs af='bana,v,m,sg,3,,0_jA+yA1_hE,0' vpos='tam_2_3' name='bana' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='40'>
5	gayA	VAUX	<fs af='jA,v,m,sg,any,,yA1,yA1' drel='lwg__vaux:bana' name='gayA' chunkType='child:VGF' posn='50'>
6	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux_cont:gayA' name='hE' chunkType='child:VGF' posn='60'>
7	.	SYM	<fs af='।,punc,,,,,,' drel='rsym:bana' name='.' chunkId='BLK' chunkType='head:BLK' posn='70'>
</Sentence>

<Sentence id='12'>
1	amAnuRa	JJ	<fs af='amAnuRa,adj,any,any,,d,,' drel='nmod__adj:loga' name='amAnuRa' chunkType='child:NP' posn='10'>
2	loga	NN	<fs af='loga,n,m,pl,3,d,0,0' drel='k1:karane' name='loga' chunkId='NP' chunkType='head:NP' posn='20'>
3	kEse	WQ	<fs af='kEsA,pn,m,pl,,d,,' drel='mod__wq:XaMXe' name='kEse' chunkType='child:NP2' posn='30'>
4	-	SYM	<fs af='-,punc,,,,,,' drel='rsym:kEse' name='-' chunkType='child:NP2' posn='40'>
5	kEse	RDP	<fs af='kEsA,pn,m,pl,,d,,' drel='pof__redup:kEse' name='kEse2' chunkType='child:NP2' posn='30'>
6	BayAvaha	JJ	<fs af='BayAvaha,adj,any,any,,d,,' drel='nmod__adj:XaMXe' name='BayAvaha' chunkType='child:NP2' posn='60'>
7	XaMXe	NN	<fs af='XaMXA,n,m,pl,3,d,0,0' drel='pof:karane' name='XaMXe' chunkId='NP2' chunkType='head:NP2' posn='70'>
